"Notes"	"State"	"State Code"	"Year"	"Year Code"	Births
	"Alabama"	"01"	"2015"	"2015"	59657
	"Alabama"	"01"	"2016"	"2016"	59151
	"Alabama"	"01"	"2017"	"2017"	58941
	"Alabama"	"01"	"2018"	"2018"	57761
	"Alabama"	"01"	"2019"	"2019"	58615
	"Alabama"	"01"	"2020"	"2020"	57647
"Total"	"Alabama"	"01"			351772
	"Alaska"	"02"	"2015"	"2015"	11282
	"Alaska"	"02"	"2016"	"2016"	11209
	"Alaska"	"02"	"2017"	"2017"	10445
	"Alaska"	"02"	"2018"	"2018"	10086
	"Alaska"	"02"	"2019"	"2019"	9822
	"Alaska"	"02"	"2020"	"2020"	9469
"Total"	"Alaska"	"02"			62313
	"Arizona"	"04"	"2015"	"2015"	85351
	"Arizona"	"04"	"2016"	"2016"	84520
	"Arizona"	"04"	"2017"	"2017"	81872
	"Arizona"	"04"	"2018"	"2018"	80723
	"Arizona"	"04"	"2019"	"2019"	79375
	"Arizona"	"04"	"2020"	"2020"	76947
"Total"	"Arizona"	"04"			488788
	"Arkansas"	"05"	"2015"	"2015"	38886
	"Arkansas"	"05"	"2016"	"2016"	38274
	"Arkansas"	"05"	"2017"	"2017"	37520
	"Arkansas"	"05"	"2018"	"2018"	37018
	"Arkansas"	"05"	"2019"	"2019"	36564
	"Arkansas"	"05"	"2020"	"2020"	35251
"Total"	"Arkansas"	"05"			223513
	"California"	"06"	"2015"	"2015"	491748
	"California"	"06"	"2016"	"2016"	488827
	"California"	"06"	"2017"	"2017"	471658
	"California"	"06"	"2018"	"2018"	454920
	"California"	"06"	"2019"	"2019"	446479
	"California"	"06"	"2020"	"2020"	420259
"Total"	"California"	"06"			2773891
	"Colorado"	"08"	"2015"	"2015"	66581
	"Colorado"	"08"	"2016"	"2016"	66613
	"Colorado"	"08"	"2017"	"2017"	64382
	"Colorado"	"08"	"2018"	"2018"	62885
	"Colorado"	"08"	"2019"	"2019"	62869
	"Colorado"	"08"	"2020"	"2020"	61494
"Total"	"Colorado"	"08"			384824
	"Connecticut"	"09"	"2015"	"2015"	35746
	"Connecticut"	"09"	"2016"	"2016"	36015
	"Connecticut"	"09"	"2017"	"2017"	35221
	"Connecticut"	"09"	"2018"	"2018"	34725
	"Connecticut"	"09"	"2019"	"2019"	34258
	"Connecticut"	"09"	"2020"	"2020"	33460
"Total"	"Connecticut"	"09"			209425
	"Delaware"	"10"	"2015"	"2015"	11166
	"Delaware"	"10"	"2016"	"2016"	10992
	"Delaware"	"10"	"2017"	"2017"	10855
	"Delaware"	"10"	"2018"	"2018"	10621
	"Delaware"	"10"	"2019"	"2019"	10562
	"Delaware"	"10"	"2020"	"2020"	10392
"Total"	"Delaware"	"10"			64588
	"District of Columbia"	"11"	"2015"	"2015"	9578
	"District of Columbia"	"11"	"2016"	"2016"	9858
	"District of Columbia"	"11"	"2017"	"2017"	9560
	"District of Columbia"	"11"	"2018"	"2018"	9212
	"District of Columbia"	"11"	"2019"	"2019"	9079
	"District of Columbia"	"11"	"2020"	"2020"	8874
"Total"	"District of Columbia"	"11"			56161
	"Florida"	"12"	"2015"	"2015"	224269
